common_name,species,type,min_size_cm,of,df,cf,af ,op,cc,indo_pacific,uae,hkg,region
Butterfly Fish,Chaetodontidae,Fish,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Global
Grouper,Serranidae,Fish,30,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Global
Moray eel,Muraenidae,Fish,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Global
Parrotfish,Scaridae,Fish,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Global
Snapper,Lutjanidae,Fish,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Global
Sweetlips,Haemulidae,Fish,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Global
Banded coral shrimp,Stenopus hispidus,Invert,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Global
Lobster,Malacostraca,Invert,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Global
Long-spined black sea urchins,Diadema spp.,Invert,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Global
Collector Urchin,Tripneustes spp.,Invert,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Global
Barrimundi Cod,Chromileptes altivelis,Fish,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Indo-Pacific
Bumphead Parrotfish,Bolbometopon muricatum,Fish,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Indo-Pacific
Humphead Wrasse,Cheilinus undulatus,Fish,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Indo-Pacific
Crown-of-thorns starfish,Acanthaster planci,Invert,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Indo-Pacific
Pinkfish,Holothuria edulis,Invert,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Indo-Pacific
Greenfish,Stichopus chloronotus,Invert,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Indo-Pacific
Prickly Redfish,Thelenota ananas,Invert,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Indo-Pacific
Giant clams,Tridacna spp.,Invert,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Indo-Pacific
Pencil urchin ,Heterocentrotus mammilatus,Invert,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Indo-Pacific
Triton shell,Charonia tritonis,Invert,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,Indo-Pacific
Arabian butterflyfish,Chaetodon melapterus,Fish,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Arabian Gulf
