species,name,family,habitat,length_cm,length_type,trophic_level,status,region,source,type,indicator,schooling_behaviour, mobility,position,activity_patterns
Acanthurus blochii,Ringtail surgeonfish,Acanthuridae,reef-associated,45.0,SL,2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,reef-associated,21.0,TL,2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Acanthurus sohal,Sohal surgeonfish,Acanthuridae,reef-associated,40.0,TL,2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Acanthurus triostegus,Convict surgeonfish,Acanthuridae,reef-associated,27.0,TL,2.8,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Acanthurus xanthopterus,Yellowfin surgeonfish,Acanthuridae,reef-associated,70.0,TL,2.9,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Naso brevirostris,Spotted unicornfish,Acanthuridae,reef-associated,60.0,TL,2.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Naso hexacanthus,Sleek unicornfish,Acanthuridae,reef-associated,75.0,FL,3.1,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Naso unicornis,Bluespine unicornfish,Acanthuridae,reef-associated,70.0,FL,2.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Zebrasoma xanthurum,Yellowtail tang,Acanthuridae,reef-associated,36.7,TL,2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Acropoma japonicum,Glowbelly,Acropomatidae,bathypelagic,20.0,TL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Alopias pelagicus,Pelagic thresher,Alopiidae,pelagic-oceanic,428.0,TL,4.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Alopias vulpinus,Thresher,Alopiidae,pelagic-oceanic,573.3,TL,4.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Abantennarius nummifer,Spotfin frogfish,Antennariidae,reef-associated,13.0,TL,4.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Pseudanthias townsendi,Townsend's anthias,Anthiadidae,demersal,9.0,TL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Antigonia rubescens,Indo-Pacific boarfish,Antigoniidae,benthopelagic,15.0,SL,2.8,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Aphaniops dispar,Arabian pupfish,Aphaniidae,benthopelagic,7.0,TL,2.9,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
